scenario_id,unit_id,salt,candidate_id,block_index,order_position,permutation_id,latency_ms,result_digest
p0.001-q1.000,p0.001-q1.000-s5303,5303,partial_aggregate_first,7,2,eligible_dimension_first->governed_fact_first->partial_aggregate_first,144.3061,69491c3aa1ae10606b2e36cfd8d77fcd4eeb0889d0cb1c1b7c082248ccc3fe53
p0.001-q1.000,p0.001-q1.000-s5303,5303,eligible_dimension_first,8,0,eligible_dimension_first->partial_aggregate_first->governed_fact_first,197.4894,69491c3aa1ae10606b2e36cfd8d77fcd4eeb0889d0cb1c1b7c082248ccc3fe53
p0.001-q1.000,p0.001-q1.000-s5303,5303,partial_aggregate_first,8,1,eligible_dimension_first->partial_aggregate_first->governed_fact_first,163.9796,69491c3aa1ae10606b2e36cfd8d77fcd4eeb0889d0cb1c1b7c082248ccc3fe53
p0.001-q1.000,p0.001-q1.000-s5303,5303,governed_fact_first,8,2,eligible_dimension_first->partial_aggregate_first->governed_fact_first,295.1447,69491c3aa1ae10606b2e36cfd8d77fcd4eeb0889d0cb1c1b7c082248ccc3fe53
p0.001-q1.000,p0.001-q1.000-s5303,5303,partial_aggregate_first,9,0,partial_aggregate_first->eligible_dimension_first->governed_fact_first,178.2184,69491c3aa1ae10606b2e36cfd8d77fcd4eeb0889d0cb1c1b7c082248ccc3fe53
p0.001-q1.000,p0.001-q1.000-s5303,5303,eligible_dimension_first,9,1,partial_aggregate_first->eligible_dimension_first->governed_fact_first,193.8886,69491c3aa1ae10606b2e36cfd8d77fcd4eeb0889d0cb1c1b7c082248ccc3fe53
p0.001-q1.000,p0.001-q1.000-s5303,5303,governed_fact_first,9,2,partial_aggregate_first->eligible_dimension_first->governed_fact_first,174.5434,69491c3aa1ae10606b2e36cfd8d77fcd4eeb0889d0cb1c1b7c082248ccc3fe53
p0.001-q1.000,p0.001-q1.000-s5303,5303,governed_fact_first,10,0,governed_fact_first->eligible_dimension_first->partial_aggregate_first,164.1247,69491c3aa1ae10606b2e36cfd8d77fcd4eeb0889d0cb1c1b7c082248ccc3fe53
p0.001-q1.000,p0.001-q1.000-s5303,5303,eligible_dimension_first,10,1,governed_fact_first->eligible_dimension_first->partial_aggregate_first,257.5874,69491c3aa1ae10606b2e36cfd8d77fcd4eeb0889d0cb1c1b7c082248ccc3fe53
p0.001-q1.000,p0.001-q1.000-s5303,5303,partial_aggregate_first,10,2,governed_fact_first->eligible_dimension_first->partial_aggregate_first,232.0548,69491c3aa1ae10606b2e36cfd8d77fcd4eeb0889d0cb1c1b7c082248ccc3fe53
p0.001-q1.000,p0.001-q1.000-s5303,5303,governed_fact_first,11,0,governed_fact_first->partial_aggregate_first->eligible_dimension_first,196.5082,69491c3aa1ae10606b2e36cfd8d77fcd4eeb0889d0cb1c1b7c082248ccc3fe53
p0.001-q1.000,p0.001-q1.000-s5303,5303,partial_aggregate_first,11,1,governed_fact_first->partial_aggregate_first->eligible_dimension_first,191.7194,69491c3aa1ae10606b2e36cfd8d77fcd4eeb0889d0cb1c1b7c082248ccc3fe53
