block_index,block_id,permutation_id,order_position,candidate_id,started_at_utc,client_materialization_latency_ms,process_cpu_time_ms,output_row_count,result_digest
16,tpch-q6-block-016,materialize-after-q06-predicate -> fused -> materialize-after-q06-time,0,materialize-after-q06-predicate,2026-07-19T13:23:26.324636+00:00,328.3909,1109.375,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
16,tpch-q6-block-016,materialize-after-q06-predicate -> fused -> materialize-after-q06-time,1,fused,2026-07-19T13:23:26.653366+00:00,221.6465,812.5,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
16,tpch-q6-block-016,materialize-after-q06-predicate -> fused -> materialize-after-q06-time,2,materialize-after-q06-time,2026-07-19T13:23:26.875068+00:00,648.5941,2515.625,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
17,tpch-q6-block-017,materialize-after-q06-time -> materialize-after-q06-predicate -> fused,0,materialize-after-q06-time,2026-07-19T13:23:27.526953+00:00,612.9578,2390.625,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
17,tpch-q6-block-017,materialize-after-q06-time -> materialize-after-q06-predicate -> fused,1,materialize-after-q06-predicate,2026-07-19T13:23:28.139567+00:00,209.9734,796.875,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
17,tpch-q6-block-017,materialize-after-q06-time -> materialize-after-q06-predicate -> fused,2,fused,2026-07-19T13:23:28.350355+00:00,197.7228,734.375,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
18,tpch-q6-block-018,materialize-after-q06-time -> materialize-after-q06-predicate -> fused,0,materialize-after-q06-time,2026-07-19T13:23:28.549349+00:00,592.1717,2312.5,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
18,tpch-q6-block-018,materialize-after-q06-time -> materialize-after-q06-predicate -> fused,1,materialize-after-q06-predicate,2026-07-19T13:23:29.142050+00:00,231.3558,796.875,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
18,tpch-q6-block-018,materialize-after-q06-time -> materialize-after-q06-predicate -> fused,2,fused,2026-07-19T13:23:29.373279+00:00,217.7886,828.125,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
19,tpch-q6-block-019,materialize-after-q06-predicate -> fused -> materialize-after-q06-time,0,materialize-after-q06-predicate,2026-07-19T13:23:29.593670+00:00,251.3218,953.125,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
19,tpch-q6-block-019,materialize-after-q06-predicate -> fused -> materialize-after-q06-time,1,fused,2026-07-19T13:23:29.844771+00:00,269.2317,968.75,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
19,tpch-q6-block-019,materialize-after-q06-predicate -> fused -> materialize-after-q06-time,2,materialize-after-q06-time,2026-07-19T13:23:30.114771+00:00,608.9287,2343.75,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
20,tpch-q6-block-020,fused -> materialize-after-q06-time -> materialize-after-q06-predicate,0,fused,2026-07-19T13:23:30.727066+00:00,249.3241,906.25,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
20,tpch-q6-block-020,fused -> materialize-after-q06-time -> materialize-after-q06-predicate,1,materialize-after-q06-time,2026-07-19T13:23:30.975959+00:00,728.541,2578.125,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
20,tpch-q6-block-020,fused -> materialize-after-q06-time -> materialize-after-q06-predicate,2,materialize-after-q06-predicate,2026-07-19T13:23:31.704762+00:00,271.1826,1015.625,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
21,tpch-q6-block-021,materialize-after-q06-predicate -> materialize-after-q06-time -> fused,0,materialize-after-q06-predicate,2026-07-19T13:23:31.979203+00:00,226.6889,843.75,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
