block_index,block_id,permutation_id,order_position,inner_repeat_index,candidate_id,started_at_utc,client_materialization_latency_ms,process_cpu_time_ms,output_row_count,result_digest
2,tpch-q6-block-002,materialize-after-q06-time -> materialize-after-q06-predicate -> fused,1,2,materialize-after-q06-predicate,2026-07-19T13:56:18.525236+00:00,195.068,625.0,1,sha256:a1aeb439b6dadb8e1b63b2a6767310d2b8aa89d387266856bc24473812d13e3c
2,tpch-q6-block-002,materialize-after-q06-time -> materialize-after-q06-predicate -> fused,1,3,materialize-after-q06-predicate,2026-07-19T13:56:18.720239+00:00,148.3936,546.875,1,sha256:a1aeb439b6dadb8e1b63b2a6767310d2b8aa89d387266856bc24473812d13e3c
2,tpch-q6-block-002,materialize-after-q06-time -> materialize-after-q06-predicate -> fused,1,4,materialize-after-q06-predicate,2026-07-19T13:56:18.868931+00:00,158.1623,531.25,1,sha256:a1aeb439b6dadb8e1b63b2a6767310d2b8aa89d387266856bc24473812d13e3c
2,tpch-q6-block-002,materialize-after-q06-time -> materialize-after-q06-predicate -> fused,2,0,fused,2026-07-19T13:56:19.026577+00:00,138.4162,515.625,1,sha256:a1aeb439b6dadb8e1b63b2a6767310d2b8aa89d387266856bc24473812d13e3c
2,tpch-q6-block-002,materialize-after-q06-time -> materialize-after-q06-predicate -> fused,2,1,fused,2026-07-19T13:56:19.165576+00:00,142.7978,468.75,1,sha256:a1aeb439b6dadb8e1b63b2a6767310d2b8aa89d387266856bc24473812d13e3c
2,tpch-q6-block-002,materialize-after-q06-time -> materialize-after-q06-predicate -> fused,2,2,fused,2026-07-19T13:56:19.308577+00:00,131.6718,453.125,1,sha256:a1aeb439b6dadb8e1b63b2a6767310d2b8aa89d387266856bc24473812d13e3c
2,tpch-q6-block-002,materialize-after-q06-time -> materialize-after-q06-predicate -> fused,2,3,fused,2026-07-19T13:56:19.439807+00:00,133.5369,437.5,1,sha256:a1aeb439b6dadb8e1b63b2a6767310d2b8aa89d387266856bc24473812d13e3c
2,tpch-q6-block-002,materialize-after-q06-time -> materialize-after-q06-predicate -> fused,2,4,fused,2026-07-19T13:56:19.573807+00:00,174.8367,453.125,1,sha256:a1aeb439b6dadb8e1b63b2a6767310d2b8aa89d387266856bc24473812d13e3c
3,tpch-q6-block-003,fused -> materialize-after-q06-time -> materialize-after-q06-predicate,0,0,fused,2026-07-19T13:56:19.751315+00:00,170.1251,546.875,1,sha256:a1aeb439b6dadb8e1b63b2a6767310d2b8aa89d387266856bc24473812d13e3c
3,tpch-q6-block-003,fused -> materialize-after-q06-time -> materialize-after-q06-predicate,0,1,fused,2026-07-19T13:56:19.921315+00:00,154.3011,437.5,1,sha256:a1aeb439b6dadb8e1b63b2a6767310d2b8aa89d387266856bc24473812d13e3c
