scenario_id,unit_id,policy_selectivity,query_selectivity,salt,candidate_id,block_index,order_position,permutation_id,latency_ms,result_digest
p0.002-q0.900,p0.002-q0.900-s6301,0.002,0.9,6301,governed_fact_first,5,2,eligible_dimension_first->partial_aggregate_first->governed_fact_first,2364.1927,3f278c2ca74833d8729a1eadbc51824071359eaec0012084c40b19d2dcc1eaf0
p0.030-q0.800,p0.030-q0.800-s6101,0.03,0.8,6101,eligible_dimension_first,0,0,eligible_dimension_first->partial_aggregate_first->governed_fact_first,4277.1608,9ac8399524071b95171388b41e31627758b477022e814ec4df3b715a8948c524
p0.030-q0.800,p0.030-q0.800-s6101,0.03,0.8,6101,partial_aggregate_first,0,1,eligible_dimension_first->partial_aggregate_first->governed_fact_first,4051.0302,9ac8399524071b95171388b41e31627758b477022e814ec4df3b715a8948c524
p0.030-q0.800,p0.030-q0.800-s6101,0.03,0.8,6101,governed_fact_first,0,2,eligible_dimension_first->partial_aggregate_first->governed_fact_first,3344.2665,9ac8399524071b95171388b41e31627758b477022e814ec4df3b715a8948c524
p0.030-q0.800,p0.030-q0.800-s6101,0.03,0.8,6101,partial_aggregate_first,1,0,partial_aggregate_first->eligible_dimension_first->governed_fact_first,4011.3869,9ac8399524071b95171388b41e31627758b477022e814ec4df3b715a8948c524
p0.030-q0.800,p0.030-q0.800-s6101,0.03,0.8,6101,eligible_dimension_first,1,1,partial_aggregate_first->eligible_dimension_first->governed_fact_first,4207.6483,9ac8399524071b95171388b41e31627758b477022e814ec4df3b715a8948c524
p0.030-q0.800,p0.030-q0.800-s6101,0.03,0.8,6101,governed_fact_first,1,2,partial_aggregate_first->eligible_dimension_first->governed_fact_first,3406.2409,9ac8399524071b95171388b41e31627758b477022e814ec4df3b715a8948c524
p0.030-q0.800,p0.030-q0.800-s6101,0.03,0.8,6101,eligible_dimension_first,2,0,eligible_dimension_first->governed_fact_first->partial_aggregate_first,5025.6506,9ac8399524071b95171388b41e31627758b477022e814ec4df3b715a8948c524
p0.030-q0.800,p0.030-q0.800-s6101,0.03,0.8,6101,governed_fact_first,2,1,eligible_dimension_first->governed_fact_first->partial_aggregate_first,3501.3534,9ac8399524071b95171388b41e31627758b477022e814ec4df3b715a8948c524
p0.030-q0.800,p0.030-q0.800-s6101,0.03,0.8,6101,partial_aggregate_first,2,2,eligible_dimension_first->governed_fact_first->partial_aggregate_first,3986.3153,9ac8399524071b95171388b41e31627758b477022e814ec4df3b715a8948c524
p0.030-q0.800,p0.030-q0.800-s6101,0.03,0.8,6101,governed_fact_first,3,0,governed_fact_first->eligible_dimension_first->partial_aggregate_first,3588.7645,9ac8399524071b95171388b41e31627758b477022e814ec4df3b715a8948c524
p0.030-q0.800,p0.030-q0.800-s6101,0.03,0.8,6101,eligible_dimension_first,3,1,governed_fact_first->eligible_dimension_first->partial_aggregate_first,4697.8536,9ac8399524071b95171388b41e31627758b477022e814ec4df3b715a8948c524
p0.030-q0.800,p0.030-q0.800-s6101,0.03,0.8,6101,partial_aggregate_first,3,2,governed_fact_first->eligible_dimension_first->partial_aggregate_first,4152.6477,9ac8399524071b95171388b41e31627758b477022e814ec4df3b715a8948c524
p0.030-q0.800,p0.030-q0.800-s6101,0.03,0.8,6101,governed_fact_first,4,0,governed_fact_first->partial_aggregate_first->eligible_dimension_first,3548.5382,9ac8399524071b95171388b41e31627758b477022e814ec4df3b715a8948c524
p0.030-q0.800,p0.030-q0.800-s6101,0.03,0.8,6101,partial_aggregate_first,4,1,governed_fact_first->partial_aggregate_first->eligible_dimension_first,4479.4967,9ac8399524071b95171388b41e31627758b477022e814ec4df3b715a8948c524
p0.030-q0.800,p0.030-q0.800-s6101,0.03,0.8,6101,eligible_dimension_first,4,2,governed_fact_first->partial_aggregate_first->eligible_dimension_first,4479.5023,9ac8399524071b95171388b41e31627758b477022e814ec4df3b715a8948c524
p0.030-q0.800,p0.030-q0.800-s6101,0.03,0.8,6101,partial_aggregate_first,5,0,partial_aggregate_first->governed_fact_first->eligible_dimension_first,4283.9972,9ac8399524071b95171388b41e31627758b477022e814ec4df3b715a8948c524
p0.030-q0.800,p0.030-q0.800-s6101,0.03,0.8,6101,governed_fact_first,5,1,partial_aggregate_first->governed_fact_first->eligible_dimension_first,3484.7844,9ac8399524071b95171388b41e31627758b477022e814ec4df3b715a8948c524
p0.030-q0.800,p0.030-q0.800-s6101,0.03,0.8,6101,eligible_dimension_first,5,2,partial_aggregate_first->governed_fact_first->eligible_dimension_first,4811.774,9ac8399524071b95171388b41e31627758b477022e814ec4df3b715a8948c524
p0.030-q0.800,p0.030-q0.800-s6203,0.03,0.8,6203,governed_fact_first,0,0,governed_fact_first->partial_aggregate_first->eligible_dimension_first,4161.1849,7a400e652cf24109fd47e8981de24de1d8a418afbd93b97074426ac9a7865940
p0.030-q0.800,p0.030-q0.800-s6203,0.03,0.8,6203,partial_aggregate_first,0,1,governed_fact_first->partial_aggregate_first->eligible_dimension_first,4293.7424,7a400e652cf24109fd47e8981de24de1d8a418afbd93b97074426ac9a7865940
p0.030-q0.800,p0.030-q0.800-s6203,0.03,0.8,6203,eligible_dimension_first,0,2,governed_fact_first->partial_aggregate_first->eligible_dimension_first,4706.1726,7a400e652cf24109fd47e8981de24de1d8a418afbd93b97074426ac9a7865940
p0.030-q0.800,p0.030-q0.800-s6203,0.03,0.8,6203,partial_aggregate_first,1,0,partial_aggregate_first->eligible_dimension_first->governed_fact_first,6480.9162,7a400e652cf24109fd47e8981de24de1d8a418afbd93b97074426ac9a7865940
p0.030-q0.800,p0.030-q0.800-s6203,0.03,0.8,6203,eligible_dimension_first,1,1,partial_aggregate_first->eligible_dimension_first->governed_fact_first,6411.1929,7a400e652cf24109fd47e8981de24de1d8a418afbd93b97074426ac9a7865940
p0.030-q0.800,p0.030-q0.800-s6203,0.03,0.8,6203,governed_fact_first,1,2,partial_aggregate_first->eligible_dimension_first->governed_fact_first,3643.8378,7a400e652cf24109fd47e8981de24de1d8a418afbd93b97074426ac9a7865940
