block_index,block_id,permutation_id,order_position,candidate_id,started_at_utc,client_materialization_latency_ms,process_cpu_time_ms,output_row_count,semantic_result_digest
8,bts-multijoin-block-008,materialize-after-bts-mj-carrier-join -> fused -> materialize-after-bts-mj-origin-join -> materialize-after-bts-mj-filter,2,materialize-after-bts-mj-origin-join,2026-07-19T06:12:43.632822+00:00,84.1822,187.5,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
8,bts-multijoin-block-008,materialize-after-bts-mj-carrier-join -> fused -> materialize-after-bts-mj-origin-join -> materialize-after-bts-mj-filter,3,materialize-after-bts-mj-filter,2026-07-19T06:12:43.726415+00:00,75.8618,218.75,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
9,bts-multijoin-block-009,materialize-after-bts-mj-filter -> materialize-after-bts-mj-carrier-join -> fused -> materialize-after-bts-mj-origin-join,0,materialize-after-bts-mj-filter,2026-07-19T06:12:43.812413+00:00,79.1055,234.375,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
9,bts-multijoin-block-009,materialize-after-bts-mj-filter -> materialize-after-bts-mj-carrier-join -> fused -> materialize-after-bts-mj-origin-join,1,materialize-after-bts-mj-carrier-join,2026-07-19T06:12:43.897413+00:00,78.9499,218.75,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
9,bts-multijoin-block-009,materialize-after-bts-mj-filter -> materialize-after-bts-mj-carrier-join -> fused -> materialize-after-bts-mj-origin-join,2,fused,2026-07-19T06:12:43.981489+00:00,69.0774,203.125,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
9,bts-multijoin-block-009,materialize-after-bts-mj-filter -> materialize-after-bts-mj-carrier-join -> fused -> materialize-after-bts-mj-origin-join,3,materialize-after-bts-mj-origin-join,2026-07-19T06:12:44.058019+00:00,83.6675,234.375,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
10,bts-multijoin-block-010,materialize-after-bts-mj-carrier-join -> fused -> materialize-after-bts-mj-filter -> materialize-after-bts-mj-origin-join,0,materialize-after-bts-mj-carrier-join,2026-07-19T06:12:44.157020+00:00,73.5062,171.875,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
10,bts-multijoin-block-010,materialize-after-bts-mj-carrier-join -> fused -> materialize-after-bts-mj-filter -> materialize-after-bts-mj-origin-join,1,fused,2026-07-19T06:12:44.239598+00:00,58.2857,171.875,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
10,bts-multijoin-block-010,materialize-after-bts-mj-carrier-join -> fused -> materialize-after-bts-mj-filter -> materialize-after-bts-mj-origin-join,2,materialize-after-bts-mj-filter,2026-07-19T06:12:44.303588+00:00,79.7528,203.125,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
10,bts-multijoin-block-010,materialize-after-bts-mj-carrier-join -> fused -> materialize-after-bts-mj-filter -> materialize-after-bts-mj-origin-join,3,materialize-after-bts-mj-origin-join,2026-07-19T06:12:44.393592+00:00,71.3155,203.125,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
11,bts-multijoin-block-011,materialize-after-bts-mj-carrier-join -> materialize-after-bts-mj-filter -> fused -> materialize-after-bts-mj-origin-join,0,materialize-after-bts-mj-carrier-join,2026-07-19T06:12:44.475562+00:00,74.4255,250.0,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
11,bts-multijoin-block-011,materialize-after-bts-mj-carrier-join -> materialize-after-bts-mj-filter -> fused -> materialize-after-bts-mj-origin-join,1,materialize-after-bts-mj-filter,2026-07-19T06:12:44.556769+00:00,75.5645,250.0,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
11,bts-multijoin-block-011,materialize-after-bts-mj-carrier-join -> materialize-after-bts-mj-filter -> fused -> materialize-after-bts-mj-origin-join,2,fused,2026-07-19T06:12:44.637770+00:00,61.1983,125.0,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
11,bts-multijoin-block-011,materialize-after-bts-mj-carrier-join -> materialize-after-bts-mj-filter -> fused -> materialize-after-bts-mj-origin-join,3,materialize-after-bts-mj-origin-join,2026-07-19T06:12:44.705778+00:00,63.2204,156.25,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
12,bts-multijoin-block-012,materialize-after-bts-mj-origin-join -> materialize-after-bts-mj-filter -> materialize-after-bts-mj-carrier-join -> fused,0,materialize-after-bts-mj-origin-join,2026-07-19T06:12:44.777770+00:00,64.7958,140.625,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
12,bts-multijoin-block-012,materialize-after-bts-mj-origin-join -> materialize-after-bts-mj-filter -> materialize-after-bts-mj-carrier-join -> fused,1,materialize-after-bts-mj-filter,2026-07-19T06:12:44.851329+00:00,69.1332,156.25,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
12,bts-multijoin-block-012,materialize-after-bts-mj-origin-join -> materialize-after-bts-mj-filter -> materialize-after-bts-mj-carrier-join -> fused,2,materialize-after-bts-mj-carrier-join,2026-07-19T06:12:44.928326+00:00,70.273,156.25,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
12,bts-multijoin-block-012,materialize-after-bts-mj-origin-join -> materialize-after-bts-mj-filter -> materialize-after-bts-mj-carrier-join -> fused,3,fused,2026-07-19T06:12:45.004656+00:00,51.488,140.625,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
13,bts-multijoin-block-013,fused -> materialize-after-bts-mj-origin-join -> materialize-after-bts-mj-carrier-join -> materialize-after-bts-mj-filter,0,fused,2026-07-19T06:12:45.062851+00:00,47.6448,140.625,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
13,bts-multijoin-block-013,fused -> materialize-after-bts-mj-origin-join -> materialize-after-bts-mj-carrier-join -> materialize-after-bts-mj-filter,1,materialize-after-bts-mj-origin-join,2026-07-19T06:12:45.115858+00:00,66.8382,156.25,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
13,bts-multijoin-block-013,fused -> materialize-after-bts-mj-origin-join -> materialize-after-bts-mj-carrier-join -> materialize-after-bts-mj-filter,2,materialize-after-bts-mj-carrier-join,2026-07-19T06:12:45.189754+00:00,62.8405,109.375,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
13,bts-multijoin-block-013,fused -> materialize-after-bts-mj-origin-join -> materialize-after-bts-mj-carrier-join -> materialize-after-bts-mj-filter,3,materialize-after-bts-mj-filter,2026-07-19T06:12:45.257812+00:00,58.8396,187.5,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
14,bts-multijoin-block-014,materialize-after-bts-mj-carrier-join -> materialize-after-bts-mj-filter -> materialize-after-bts-mj-origin-join -> fused,0,materialize-after-bts-mj-carrier-join,2026-07-19T06:12:45.324809+00:00,59.4626,171.875,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
14,bts-multijoin-block-014,materialize-after-bts-mj-carrier-join -> materialize-after-bts-mj-filter -> materialize-after-bts-mj-origin-join -> fused,1,materialize-after-bts-mj-filter,2026-07-19T06:12:45.391974+00:00,71.0058,187.5,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
14,bts-multijoin-block-014,materialize-after-bts-mj-carrier-join -> materialize-after-bts-mj-filter -> materialize-after-bts-mj-origin-join -> fused,2,materialize-after-bts-mj-origin-join,2026-07-19T06:12:45.467972+00:00,66.1941,109.375,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
14,bts-multijoin-block-014,materialize-after-bts-mj-carrier-join -> materialize-after-bts-mj-filter -> materialize-after-bts-mj-origin-join -> fused,3,fused,2026-07-19T06:12:45.541974+00:00,50.3173,125.0,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
15,bts-multijoin-block-015,materialize-after-bts-mj-filter -> materialize-after-bts-mj-origin-join -> materialize-after-bts-mj-carrier-join -> fused,0,materialize-after-bts-mj-filter,2026-07-19T06:12:45.600973+00:00,62.3025,234.375,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
15,bts-multijoin-block-015,materialize-after-bts-mj-filter -> materialize-after-bts-mj-origin-join -> materialize-after-bts-mj-carrier-join -> fused,1,materialize-after-bts-mj-origin-join,2026-07-19T06:12:45.667973+00:00,68.2722,171.875,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
15,bts-multijoin-block-015,materialize-after-bts-mj-filter -> materialize-after-bts-mj-origin-join -> materialize-after-bts-mj-carrier-join -> fused,2,materialize-after-bts-mj-carrier-join,2026-07-19T06:12:45.741975+00:00,72.1981,187.5,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
