scenario_id,unit_id,policy_selectivity,query_selectivity,salt,candidate_id,block_index,order_position,permutation_id,latency_ms,result_digest
p0.030-q0.800,p0.030-q0.800-s6101,0.03,0.8,6101,eligible_dimension_first,3,1,governed_fact_first->eligible_dimension_first->partial_aggregate_first,4808.6494,9ac8399524071b95171388b41e31627758b477022e814ec4df3b715a8948c524
p0.030-q0.800,p0.030-q0.800-s6101,0.03,0.8,6101,partial_aggregate_first,3,2,governed_fact_first->eligible_dimension_first->partial_aggregate_first,4631.3518,9ac8399524071b95171388b41e31627758b477022e814ec4df3b715a8948c524
p0.030-q0.800,p0.030-q0.800-s6101,0.03,0.8,6101,governed_fact_first,4,0,governed_fact_first->partial_aggregate_first->eligible_dimension_first,3195.8045,9ac8399524071b95171388b41e31627758b477022e814ec4df3b715a8948c524
p0.030-q0.800,p0.030-q0.800-s6101,0.03,0.8,6101,partial_aggregate_first,4,1,governed_fact_first->partial_aggregate_first->eligible_dimension_first,3853.9161,9ac8399524071b95171388b41e31627758b477022e814ec4df3b715a8948c524
p0.030-q0.800,p0.030-q0.800-s6101,0.03,0.8,6101,eligible_dimension_first,4,2,governed_fact_first->partial_aggregate_first->eligible_dimension_first,3568.4443,9ac8399524071b95171388b41e31627758b477022e814ec4df3b715a8948c524
p0.030-q0.800,p0.030-q0.800-s6101,0.03,0.8,6101,partial_aggregate_first,5,0,partial_aggregate_first->governed_fact_first->eligible_dimension_first,3893.6626,9ac8399524071b95171388b41e31627758b477022e814ec4df3b715a8948c524
p0.030-q0.800,p0.030-q0.800-s6101,0.03,0.8,6101,governed_fact_first,5,1,partial_aggregate_first->governed_fact_first->eligible_dimension_first,3662.4206,9ac8399524071b95171388b41e31627758b477022e814ec4df3b715a8948c524
p0.030-q0.800,p0.030-q0.800-s6101,0.03,0.8,6101,eligible_dimension_first,5,2,partial_aggregate_first->governed_fact_first->eligible_dimension_first,4283.2822,9ac8399524071b95171388b41e31627758b477022e814ec4df3b715a8948c524
p0.030-q0.800,p0.030-q0.800-s6203,0.03,0.8,6203,governed_fact_first,0,0,governed_fact_first->partial_aggregate_first->eligible_dimension_first,3862.6415,7a400e652cf24109fd47e8981de24de1d8a418afbd93b97074426ac9a7865940
p0.030-q0.800,p0.030-q0.800-s6203,0.03,0.8,6203,partial_aggregate_first,0,1,governed_fact_first->partial_aggregate_first->eligible_dimension_first,4410.9158,7a400e652cf24109fd47e8981de24de1d8a418afbd93b97074426ac9a7865940
p0.030-q0.800,p0.030-q0.800-s6203,0.03,0.8,6203,eligible_dimension_first,0,2,governed_fact_first->partial_aggregate_first->eligible_dimension_first,4534.5253,7a400e652cf24109fd47e8981de24de1d8a418afbd93b97074426ac9a7865940
p0.030-q0.800,p0.030-q0.800-s6203,0.03,0.8,6203,partial_aggregate_first,1,0,partial_aggregate_first->eligible_dimension_first->governed_fact_first,4633.2432,7a400e652cf24109fd47e8981de24de1d8a418afbd93b97074426ac9a7865940
