family_id,row_count,identifier_width,match_rate,replicate_count,required_agreement_count,early_count,tie_count,late_count,family_classification,median_log_early_late_ratio,median_hash_projection_relative_delta,hash_projection_dominant_count,median_support_projection_relative_delta,support_projection_dominant_count,median_hash_join_relative_delta,hash_join_dominant_count,median_order_by_relative_delta,order_by_dominant_count,median_materialization_relative_delta,materialization_dominant_count,median_event_scan_relative_delta,event_scan_dominant_count,median_dimension_scan_relative_delta,dimension_scan_dominant_count,median_output_sink_relative_delta,output_sink_dominant_count
n150000-w512-m0500,150000,512,0.5,3,3,0,0,3,stable_late,0.482980686177868,0.5449171027360642,3,-0.8045673015792284,0,0.7649549598144452,0,0.07412047761994468,0,1.0,0,0.29558702509943746,0,-0.2138554216867472,0,0.07980312884513974,0
n150000-w512-m0900,150000,512,0.9,5,4,0,3,2,mixed,0.023029333069191013,0.10062297753867268,5,-0.7396226415094341,0,0.7672624170928054,0,0.095079209509271,0,1.0,0,-0.0512234910277326,0,-0.05956112852664574,0,0.26237466499031326,0
n150000-w512-m1000,150000,512,1.0,8,7,1,4,3,mixed,0.013546971547672992,0.04316581927484769,8,-0.7212567659364557,0,0.79003542598259,0,0.07140354274618904,0,1.0,0,-0.0008569099165433955,0,-0.00840252643531335,0,0.1781699646481862,0
n200000-w128-m0900,200000,128,0.9,5,4,5,0,0,stable_early,-0.0935531255981124,0.1341418387344144,5,-0.734327493846822,0,0.7785945452533746,0,0.00660599172638148,0,1.0,0,-0.002341562329009312,0,0.4327217125382263,0,0.22308379673734038,0
n200000-w128-m1000,200000,128,1.0,5,4,5,0,0,stable_early,-0.09130112776907594,-0.02084365574961623,3,-0.7689558823529413,0,0.6943350006852129,0,0.05575647964001119,1,1.0,1,-0.031568381759615675,0,0.026865671641790986,0,-0.05475345523101918,0
n200000-w256-m0900,200000,256,0.9,5,4,3,1,1,mixed,-0.060168539250141664,0.14175542099443864,5,-0.7573563923890676,0,0.8154412149320872,0,0.09904765321168114,0,1.0,0,0.04594253017235357,0,-0.010101010101010274,0,0.00015925074675681472,0
n200000-w256-m1000,200000,256,1.0,5,4,4,1,0,stable_early,-0.05725537572149533,0.015584932897409831,2,-0.7238182857302166,0,0.8069993267683742,0,0.03449386406342689,2,1.0,1,0.041071319997567676,0,-0.043256997455470736,0,0.13923909908177523,0
n200000-w512-m0900,200000,512,0.9,5,4,2,1,2,mixed,0.009034365020327978,0.02503238488325566,4,-0.7653501596946327,0,0.7312813796114387,0,0.15260173184326065,1,1.0,0,0.020114795076860044,0,0.11999999999999984,0,0.1809005588384712,0
n200000-w512-m1000,200000,512,1.0,5,4,1,2,2,mixed,0.004103288780519978,0.008162179383829403,4,-0.6883849332701036,0,0.7895366240720824,0,0.05670095416396314,0,1.0,1,-0.002298635903256418,0,-0.041769041769041934,0,0.17099263893889396,0
n50000-w1024-m0100,50000,1024,0.1,3,3,0,0,3,stable_late,2.3604091154090283,0.9042490168429181,3,-0.7679180887372014,0,0.7786332179930796,0,0.2620096560048279,0,1.0,0,0.7862392494136045,0,0.014619883040935686,0,0.04302270201619289,0
n50000-w1024-m0500,50000,1024,0.5,3,3,0,0,3,stable_late,0.7563743933405004,0.5633004809084062,3,-0.7372907625542467,0,0.8074571088839817,0,0.28568602057702,0,1.0,0,0.40953525203429636,0,-0.14070351758793972,0,0.06446313318990826,0
n50000-w1024-m1000,50000,1024,1.0,3,3,1,2,0,mixed,0.01520623901218022,0.06939515343023363,3,-0.7219632056451613,0,0.8030915504685773,0,0.07468515194840783,0,1.0,0,0.00019195700163169863,0,0.1999999999999998,0,0.003244653826613321,0
n50000-w2048-m0100,50000,2048,0.1,3,3,0,0,3,stable_late,2.345399457324451,0.9091290238722698,3,-0.8241436925647452,0,0.8169689754184467,0,0.32840579121570845,0,1.0,0,0.8751109242912521,0,-0.10552763819095468,0,-0.1607449154618967,0
n50000-w2048-m0500,50000,2048,0.5,3,3,0,0,3,stable_late,0.8055251478151035,0.5129884910065647,3,-0.734140435835351,0,0.7804121579709147,0,0.2338071221152376,0,1.0,0,0.27495220609112037,0,0.029090909090909042,0,0.22322965330710587,0
n50000-w2048-m1000,50000,2048,1.0,3,3,0,0,3,stable_late,0.12355279314430824,0.03745116884269089,3,-0.7080585030111844,0,0.7416983787728718,0,0.13938082964181547,0,1.0,0,0.05279215745117144,0,0.07042253521126779,0,0.12218386304587656,0
n50000-w256-m0100,50000,256,0.1,3,3,0,0,3,stable_late,2.0981126122096243,0.9139048764388267,3,-0.7282229965156793,0,0.7709153692372933,0,0.37249702026221687,0,1.0,0,0.8272085034674963,0,0.4876760563380282,0,0.0806805708013172,0
n50000-w256-m0500,50000,256,0.5,3,3,0,0,3,stable_late,0.6369764386209508,0.5759672635406803,3,-0.7609166924744503,0,0.7991584322254267,0,0.09465405624114885,0,1.0,0,0.27912663755458517,0,0.09855072463768136,0,-0.04547388726560933,0
n50000-w256-m1000,50000,256,1.0,3,3,2,0,1,mixed,-0.03970407080944348,-0.09334233762671723,3,-0.6795865633074936,0,0.7523430046579493,0,0.22618905032599654,0,1.0,0,0.09945046557777412,0,-0.26108374384236455,0,0.1273287196060849,0
n50000-w512-m0100,50000,512,0.1,3,3,0,0,3,stable_late,2.0484558595772664,0.9122461166906417,3,-0.8207920792079207,0,0.7648471266207779,0,0.23289459371260746,0,1.0,0,0.7889338341519792,0,-0.2873831775700936,0,0.05804994686503728,0
n50000-w512-m0500,50000,512,0.5,3,3,0,0,3,stable_late,0.5937189864990061,0.5224558955447025,3,-0.8041033118100396,0,0.7844005144002153,0,0.2530443915059297,0,1.0,0,0.2298259914236097,0,0.2033898305084745,0,0.10394784498370158,0
n50000-w512-m1000,50000,512,1.0,3,3,0,1,2,mixed,0.07297083384890747,0.2615976958703368,3,-0.6745766368245065,0,0.7389955728505767,0,0.23046700738039147,0,1.0,0,0.2190593000370804,0,-0.22883295194508,0,0.2708848986694268,0
