replicate_id,family_id,row_count,identifier_width,match_rate,seed,early_latency_ms,late_latency_ms,observed_log_early_late_ratio,classification,dominant_relative_difference_role,early_hash_projection_ms,late_hash_projection_ms,hash_projection_delta_ms,hash_projection_relative_delta,early_support_projection_ms,late_support_projection_ms,support_projection_delta_ms,support_projection_relative_delta,early_hash_join_ms,late_hash_join_ms,hash_join_delta_ms,hash_join_relative_delta,early_order_by_ms,late_order_by_ms,order_by_delta_ms,order_by_relative_delta,early_materialization_ms,late_materialization_ms,materialization_delta_ms,materialization_relative_delta,early_event_scan_ms,late_event_scan_ms,event_scan_delta_ms,event_scan_relative_delta,early_dimension_scan_ms,late_dimension_scan_ms,dimension_scan_delta_ms,dimension_scan_relative_delta,early_output_sink_ms,late_output_sink_ms,output_sink_delta_ms,output_sink_relative_delta
20260717T120435635390Z/mask_fragment-n50000-w512-m1000-s909,n50000-w512-m1000,50000,512,1.0,909,466.25749999657273,476.95779998321086,-0.022689960725613117,tie,hash_projection,503.25960000000003,363.41399999999993,139.8456000000001,0.2778796470052436,0.3781,1.076,-0.6979000000000001,-0.6486059479553904,3.9036999999999997,0.9943999999999998,2.9093,0.7452673105002946,38.3313,29.4972,8.8341,0.23046700738039147,4.832000000000001,0,4.832000000000001,1.0,3.5059,2.7379,0.7680000000000002,0.2190593000370804,0.0337,0.043699999999999996,-0.009999999999999995,-0.22883295194508,6.253000000000002,6.0798,0.17320000000000224,0.027698704621781894
20260717T134222171980Z/mask_fragment-n100000-w128-m0900-s1111,n100000-w128-m0900,100000,128,0.9,1111,466.1919999634847,412.4539000331424,0.12247312432494613,late,hash_projection,311.8997999999999,345.98990000000003,-34.09010000000012,-0.0985291767187427,0.7799999999999998,4.432,-3.6520000000000006,-0.8240072202166066,7.794,2.3022000000000005,5.4918,0.7046189376443418,95.5992,79.381,16.218199999999996,0.16964786316203478,14.631699999999999,0,14.631699999999999,1.0,5.619199999999998,7.862100000000001,-2.2429000000000023,-0.2852800142455581,0.041999999999999996,0.0741,-0.032100000000000004,-0.43319838056680166,15.771599999999996,16.2459,-0.47430000000000305,-0.029195058445515672
20260717T134222171980Z/mask_fragment-n100000-w128-m0900-s1222,n100000-w128-m0900,100000,128,0.9,1222,464.82639998430386,457.3048999882303,0.01631365686645425,tie,materialization,357.1322,350.2885,6.8437000000000126,0.0191629318218856,0.6952,4.040900000000001,-3.345700000000001,-0.8279591180182633,6.0462,2.1819,3.8642999999999996,0.639128708941153,76.1919,74.24670000000002,1.9451999999999856,0.025530272903024936,12.7217,0,12.7217,1.0,6.205799999999999,7.320899999999999,-1.1151,-0.15231733803220918,0.0337,0.0399,-0.006199999999999997,-0.1553884711779448,14.731000000000002,12.157499999999999,2.573500000000003,0.17469961306089216
20260717T134222171980Z/mask_fragment-n100000-w128-m0900-s1333,n100000-w128-m0900,100000,128,0.9,1333,541.244900028687,517.4502999871038,0.04495837483726129,late,hash_projection,348.20770000000005,336.0503,12.157400000000052,0.0349142193007221,0.7469999999999999,3.4237,-2.6767000000000003,-0.7818149954727343,6.361700000000001,1.3268,5.0349,0.7914393951302324,67.5204,63.022800000000004,4.497599999999991,0.06661097979277361,11.882800000000001,0,11.882800000000001,1.0,5.752999999999999,6.120999999999999,-0.36799999999999944,-0.06012089527854918,0.07060000000000001,0.029800000000000004,0.0408,0.5779036827195467,11.228900000000001,11.550600000000001,-0.3216999999999999,-0.027851367028552617
20260717T134222171980Z/mask_fragment-n100000-w128-m0900-s1444,n100000-w128-m0900,100000,128,0.9,1444,442.4773000064306,453.6674999981187,-0.024975387150538035,tie,hash_projection,519.9409,310.04419999999993,209.89670000000012,0.4036933813054524,0.8552,3.1834000000000007,-2.3282000000000007,-0.7313564113840548,7.2965,1.6359000000000004,5.6606,0.7757966148153224,70.75569999999999,64.30380000000001,6.451899999999981,0.09118558646158517,12.026299999999999,0,12.026299999999999,1.0,6.913700000000001,7.269700000000001,-0.35599999999999987,-0.04897038392230763,0.0352,0.043699999999999996,-0.008499999999999994,-0.19450800915331795,13.502799999999997,11.554300000000001,1.9484999999999957,0.14430340373848358
20260717T134222171980Z/mask_fragment-n100000-w128-m0900-s1555,n100000-w128-m0900,100000,128,0.9,1555,462.7727000042796,434.67270000837743,0.06264267071529057,late,hash_projection,359.8295,419.24999999999983,-59.420499999999834,-0.14173047107930795,0.8051999999999999,3.7542000000000004,-2.9490000000000007,-0.7855202173565607,8.103099999999998,1.7256999999999998,6.377399999999998,0.7870321235082869,81.41489999999999,83.79159999999999,-2.3766999999999996,-0.02836441839038758,11.315199999999999,0,11.315199999999999,1.0,5.5886000000000005,8.2895,-2.7009,-0.32582182278786415,0.05670000000000001,0.0374,0.019300000000000005,0.34038800705467376,14.598,13.891099999999994,0.7069000000000063,0.04842444170434349
20260717T134222171980Z/mask_fragment-n100000-w128-m1000-s1111,n100000-w128-m1000,100000,128,1.0,1111,476.53270000591874,502.2012999979779,-0.052464689180666386,early,hash_projection,347.96900000000005,310.03170000000006,37.93729999999999,0.10902494187700625,0.7664000000000001,2.8432,-2.0768,-0.7304445694991559,6.594099999999999,1.5466000000000002,5.047499999999999,0.7654569994388923,78.4135,78.81110000000001,-0.3976000000000113,-0.005044974629208465,8.694500000000001,0,8.694500000000001,1.0,5.3527,5.853799999999998,-0.5010999999999983,-0.08560251460589677,0.08750000000000001,0.027700000000000002,0.059800000000000006,0.6834285714285714,15.805799999999998,15.7436,0.062199999999997146,0.003935264270077892
20260717T134222171980Z/mask_fragment-n100000-w128-m1000-s1222,n100000-w128-m1000,100000,128,1.0,1222,448.72689998010173,463.2740000379272,-0.031904209674396326,early,hash_projection,336.9982,351.8269000000001,-14.828700000000083,-0.04214771525429147,0.6954000000000002,3.2077,-2.5122999999999998,-0.7832091529756523,6.5322000000000005,1.5710999999999997,4.961100000000001,0.7594837880040416,82.2637,72.46570000000001,9.797999999999988,0.11910478133125531,10.697399999999998,0,10.697399999999998,1.0,4.651400000000001,5.071199999999999,-0.4197999999999986,-0.08278119577220355,0.0253,0.029699999999999997,-0.004399999999999998,-0.14814814814814808,13.879499999999997,13.045600000000002,0.8338999999999945,0.06008141503656434
20260717T134222171980Z/mask_fragment-n100000-w128-m1000-s1333,n100000-w128-m1000,100000,128,1.0,1333,476.0322999791242,498.86829999741167,-0.046856424027301245,early,hash_projection,358.5787000000002,388.86650000000003,-30.287799999999834,-0.07788739837450598,0.6512,3.5581000000000014,-2.906900000000001,-0.8169809729912032,5.562899999999999,1.6421000000000001,3.920799999999999,0.7048122382210716,73.21610000000001,82.4306,-9.214499999999987,-0.11178494394072089,10.739500000000003,0,10.739500000000003,1.0,7.315700000000001,5.07,2.245700000000001,0.30696994135899514,0.04270000000000001,0.0304,0.012300000000000009,0.2880562060889931,12.878999999999996,14.4767,-1.5977000000000032,-0.11036354970400736
20260717T134222171980Z/mask_fragment-n100000-w128-m1000-s1444,n100000-w128-m1000,100000,128,1.0,1444,480.7791000348516,468.9545000437647,0.024902164222725752,tie,hash_projection,350.109,305.4735,44.63549999999998,0.12749029587928326,0.7678,3.991199999999999,-3.223399999999999,-0.8076267789136098,7.5261000000000005,1.7183000000000002,5.8078,0.771687859581988,73.1021,77.04159999999999,-3.9394999999999953,-0.05113471163631072,10.281900000000004,0,10.281900000000004,1.0,5.3293,5.817,-0.48770000000000024,-0.08384046759498028,0.025500000000000002,0.030099999999999995,-0.004599999999999993,-0.1528239202657805,12.170700000000002,12.393699999999997,-0.22299999999999542,-0.01799301257897121
