unit_id,benchmark,identifier_width,match_rate,row_count,seed,matched_rows,component,operator_index,operator_name,profile_runs,median_operator_timing_ms,p95_operator_timing_ms,min_operator_timing_ms,max_operator_timing_ms,actual_cardinality,rows_scanned,physical_plan_fingerprint
mask_fragment-n2000-w512-m0750-s707,mask_fragment,512,0.75,2000,707,1500,late_mask_fragment,0,EXPLAIN_ANALYZE,2,0.00019999999999999998,0.0003,9.999999999999999e-05,0.0003,0,0,sha256:7f98a99a1feb732b4b01c020a87da9b6842787ecdc6b846d46bba31c74c54d29
mask_fragment-n2000-w512-m0750-s707,mask_fragment,512,0.75,2000,707,1500,late_mask_fragment,1,BATCH_CREATE_TABLE_AS,2,0.22089999999999999,0.25179999999999997,0.18999999999999997,0.25179999999999997,1,0,sha256:7f98a99a1feb732b4b01c020a87da9b6842787ecdc6b846d46bba31c74c54d29
mask_fragment-n2000-w512-m0750-s707,mask_fragment,512,0.75,2000,707,1500,late_mask_fragment,2,PROJECTION,2,0.0101,0.0156,0.0046,0.0156,1500,0,sha256:7f98a99a1feb732b4b01c020a87da9b6842787ecdc6b846d46bba31c74c54d29
mask_fragment-n2000-w512-m0750-s707,mask_fragment,512,0.75,2000,707,1500,late_mask_fragment,3,ORDER_BY,2,0.6515500000000001,0.7797000000000001,0.5234000000000001,0.7797000000000001,1500,0,sha256:7f98a99a1feb732b4b01c020a87da9b6842787ecdc6b846d46bba31c74c54d29
mask_fragment-n2000-w512-m0750-s707,mask_fragment,512,0.75,2000,707,1500,late_mask_fragment,4,PROJECTION,2,0.03215,0.0388,0.0255,0.0388,1500,0,sha256:7f98a99a1feb732b4b01c020a87da9b6842787ecdc6b846d46bba31c74c54d29
mask_fragment-n2000-w512-m0750-s707,mask_fragment,512,0.75,2000,707,1500,late_mask_fragment,5,PROJECTION,2,10.1249,10.9291,9.320699999999999,10.9291,1500,0,sha256:7f98a99a1feb732b4b01c020a87da9b6842787ecdc6b846d46bba31c74c54d29
mask_fragment-n2000-w512-m0750-s707,mask_fragment,512,0.75,2000,707,1500,late_mask_fragment,6,HASH_JOIN,2,0.3841,0.4191,0.34909999999999997,0.4191,1500,0,sha256:7f98a99a1feb732b4b01c020a87da9b6842787ecdc6b846d46bba31c74c54d29
mask_fragment-n2000-w512-m0750-s707,mask_fragment,512,0.75,2000,707,1500,late_mask_fragment,7,SEQ_SCAN,2,0.09665000000000001,0.10070000000000001,0.0926,0.10070000000000001,1500,2000,sha256:7f98a99a1feb732b4b01c020a87da9b6842787ecdc6b846d46bba31c74c54d29
mask_fragment-n2000-w512-m0750-s707,mask_fragment,512,0.75,2000,707,1500,late_mask_fragment,8,SEQ_SCAN,2,0.01285,0.016900000000000002,0.0088,0.016900000000000002,2000,2000,sha256:7f98a99a1feb732b4b01c020a87da9b6842787ecdc6b846d46bba31c74c54d29
mask_fragment-n2000-w64-m0250-s707,mask_fragment,64,0.25,2000,707,500,early_mask_fragment,0,EXPLAIN_ANALYZE,2,0.00019999999999999998,0.0003,9.999999999999999e-05,0.0003,0,0,sha256:1a43e0ddf8cc02438cc76d27ba1cce86da34109d2e43dcc8ed7c9d581b95b39d
