candidate_count,policy_regime,scenario_id,seed,repetition,legal_candidate_count,selected_candidate_id,selected_is_legal,cost_oracle_match,within_3_percent_cost_oracle,generation_us,legality_filter_us,ranking_us,total_planning_us
3,permissive,bts-2024-03-w256-p020-q065-j065,21303,4,3,governed_fact_first--masked_checkpoint--result--inline--pre_join,True,True,True,25.9,1.2,1.0,28.1
3,permissive,bts-2024-03-w256-p020-q065-j065,21303,5,3,governed_fact_first--masked_checkpoint--result--inline--pre_join,True,True,True,25.1,1.0,0.9,27.0
3,permissive,bts-2024-03-w256-p020-q065-j065,21303,6,3,governed_fact_first--masked_checkpoint--result--inline--pre_join,True,True,True,25.2,0.9,0.9,27.0
3,permissive,bts-2024-03-w256-p020-q065-j065,21303,7,3,governed_fact_first--masked_checkpoint--result--inline--pre_join,True,True,True,25.1,1.0,0.9,27.0
3,permissive,bts-2024-03-w256-p020-q065-j065,21303,8,3,governed_fact_first--masked_checkpoint--result--inline--pre_join,True,True,True,25.8,1.0,1.0,27.8
3,permissive,bts-2024-03-w256-p020-q065-j065,21303,9,3,governed_fact_first--masked_checkpoint--result--inline--pre_join,True,True,True,29.1,1.1,0.9,31.1
3,permissive,bts-2024-03-w256-p020-q065-j065,21303,10,3,governed_fact_first--masked_checkpoint--result--inline--pre_join,True,True,True,25.7,0.9,0.9,27.5
3,permissive,bts-2024-03-w256-p020-q065-j065,21303,11,3,governed_fact_first--masked_checkpoint--result--inline--pre_join,True,True,True,25.4,0.9,0.8,27.1
3,permissive,bts-2024-03-w256-p020-q065-j065,21303,12,3,governed_fact_first--masked_checkpoint--result--inline--pre_join,True,True,True,25.3,1.0,0.8,27.1
3,permissive,bts-2024-03-w256-p020-q065-j065,21303,13,3,governed_fact_first--masked_checkpoint--result--inline--pre_join,True,True,True,24.6,0.9,0.9,26.4
3,permissive,bts-2024-03-w256-p020-q065-j065,21303,14,3,governed_fact_first--masked_checkpoint--result--inline--pre_join,True,True,True,25.0,1.4,1.2,27.6
3,permissive,bts-2024-03-w256-p020-q065-j065,21303,15,3,governed_fact_first--masked_checkpoint--result--inline--pre_join,True,True,True,27.2,1.2,0.9,29.3
3,permissive,bts-2024-03-w256-p020-q065-j065,21303,16,3,governed_fact_first--masked_checkpoint--result--inline--pre_join,True,True,True,78.7,1.7,2.2,82.6
3,permissive,bts-2024-03-w256-p020-q065-j065,21303,17,3,governed_fact_first--masked_checkpoint--result--inline--pre_join,True,True,True,39.1,1.0,1.2,41.3
3,permissive,bts-2024-03-w256-p020-q065-j065,21303,18,3,governed_fact_first--masked_checkpoint--result--inline--pre_join,True,True,True,27.5,1.1,1.1,29.7
3,permissive,bts-2024-03-w256-p020-q065-j065,21303,19,3,governed_fact_first--masked_checkpoint--result--inline--pre_join,True,True,True,27.5,0.9,1.5,29.9
3,permissive,bts-2024-03-w256-p020-q065-j065,21303,20,3,governed_fact_first--masked_checkpoint--result--inline--pre_join,True,True,True,26.5,1.0,1.2,28.7
3,permissive,bts-2024-03-w256-p020-q065-j065,21303,21,3,governed_fact_first--masked_checkpoint--result--inline--pre_join,True,True,True,25.7,1.0,0.8,27.5
3,permissive,bts-2024-03-w256-p020-q065-j065,21303,22,3,governed_fact_first--masked_checkpoint--result--inline--pre_join,True,True,True,26.0,0.9,1.0,27.9
3,permissive,bts-2024-03-w256-p020-q065-j065,21303,23,3,governed_fact_first--masked_checkpoint--result--inline--pre_join,True,True,True,26.1,1.2,0.9,28.2
