commit_hash,identifier_width,latency_ms,match_rate,matched_rows,order_position,physical_plan_fingerprint,region_label,repeat_index,result_digest,row_count,run_id,scenario_id,seed,variant
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,504.39199997344986,0.9,90000,1,sha256:8c775ff611abc16d74d7b882b9f184805f1ebab78a726a672f21ac5ab0810c9f,phase2l_mixed,8,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,late_hash_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,454.98549996409565,0.9,90000,2,sha256:aaa00b3bd44c8b4eac45d7e7d997fa62366f1bf46f339190d03cee33407583a0,phase2l_mixed,8,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,early_hash_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,1110.8899000100791,0.9,90000,3,sha256:f570cbbf354e04dbc1f358979321f6943968e8a815c0d2fb74a463dc822156e7,phase2l_mixed,8,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,late_fused
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,405.8860999648459,0.9,90000,0,sha256:8c775ff611abc16d74d7b882b9f184805f1ebab78a726a672f21ac5ab0810c9f,phase2l_mixed,9,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,late_hash_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,534.8110000486486,0.9,90000,1,sha256:aaa00b3bd44c8b4eac45d7e7d997fa62366f1bf46f339190d03cee33407583a0,phase2l_mixed,9,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,early_hash_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,446.4925000211224,0.9,90000,2,sha256:f570cbbf354e04dbc1f358979321f6943968e8a815c0d2fb74a463dc822156e7,phase2l_mixed,9,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,late_fused
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,255.92739996500313,0.9,90000,3,sha256:26c7beb699842444e252d17ec55e88fce7462da77b086dbbfc8863980d091221,phase2l_mixed,9,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,late_join_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,334.14240001002327,0.9,90000,0,sha256:aaa00b3bd44c8b4eac45d7e7d997fa62366f1bf46f339190d03cee33407583a0,phase2l_mixed,10,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,early_hash_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,329.21659998828545,0.9,90000,1,sha256:f570cbbf354e04dbc1f358979321f6943968e8a815c0d2fb74a463dc822156e7,phase2l_mixed,10,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,late_fused
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,138.60919995931908,0.9,90000,2,sha256:26c7beb699842444e252d17ec55e88fce7462da77b086dbbfc8863980d091221,phase2l_mixed,10,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,late_join_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,258.9987000101246,0.9,90000,3,sha256:8c775ff611abc16d74d7b882b9f184805f1ebab78a726a672f21ac5ab0810c9f,phase2l_mixed,10,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,late_hash_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,265.6293999752961,0.9,90000,0,sha256:f570cbbf354e04dbc1f358979321f6943968e8a815c0d2fb74a463dc822156e7,phase2l_mixed,11,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,late_fused
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,166.72570002265275,0.9,90000,1,sha256:26c7beb699842444e252d17ec55e88fce7462da77b086dbbfc8863980d091221,phase2l_mixed,11,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,late_join_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,382.32829998014495,0.9,90000,2,sha256:8c775ff611abc16d74d7b882b9f184805f1ebab78a726a672f21ac5ab0810c9f,phase2l_mixed,11,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,late_hash_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,238.47949999617413,0.9,90000,3,sha256:aaa00b3bd44c8b4eac45d7e7d997fa62366f1bf46f339190d03cee33407583a0,phase2l_mixed,11,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,early_hash_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,132.0729000144638,0.9,90000,0,sha256:26c7beb699842444e252d17ec55e88fce7462da77b086dbbfc8863980d091221,phase2l_mixed,12,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,late_join_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,319.27490001544356,0.9,90000,1,sha256:8c775ff611abc16d74d7b882b9f184805f1ebab78a726a672f21ac5ab0810c9f,phase2l_mixed,12,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,late_hash_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,270.77790000475943,0.9,90000,2,sha256:aaa00b3bd44c8b4eac45d7e7d997fa62366f1bf46f339190d03cee33407583a0,phase2l_mixed,12,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,early_hash_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,318.883600004483,0.9,90000,3,sha256:f570cbbf354e04dbc1f358979321f6943968e8a815c0d2fb74a463dc822156e7,phase2l_mixed,12,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,late_fused
