unit_id,workload,sample_rows,repeat_index,measurement_block_id,permutation_id,order_position,strategy_id,started_at_utc,client_materialization_latency_ms,process_cpu_time_ms,output_row_count,semantic_result_digest
bts-full-2024-01,bts,547271,11,bts-full-2024-01-block-011,fused -> materialize-after-gov-002-mask -> materialize-after-bts-filter,1,materialize-after-gov-002-mask,2026-07-19T05:21:54.553347+00:00,522.4931,609.375,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,11,bts-full-2024-01-block-011,fused -> materialize-after-gov-002-mask -> materialize-after-bts-filter,2,materialize-after-bts-filter,2026-07-19T05:21:55.940552+00:00,794.2912,796.875,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,12,bts-full-2024-01-block-012,materialize-after-gov-002-mask -> materialize-after-bts-filter -> fused,0,materialize-after-gov-002-mask,2026-07-19T05:21:57.708163+00:00,579.2363,656.25,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,12,bts-full-2024-01-block-012,materialize-after-gov-002-mask -> materialize-after-bts-filter -> fused,1,materialize-after-bts-filter,2026-07-19T05:21:59.177983+00:00,757.4817,921.875,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,12,bts-full-2024-01-block-012,materialize-after-gov-002-mask -> materialize-after-bts-filter -> fused,2,fused,2026-07-19T05:22:00.973744+00:00,664.2627,796.875,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,13,bts-full-2024-01-block-013,fused -> materialize-after-gov-002-mask -> materialize-after-bts-filter,0,fused,2026-07-19T05:22:02.402771+00:00,581.739,578.125,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,13,bts-full-2024-01-block-013,fused -> materialize-after-gov-002-mask -> materialize-after-bts-filter,1,materialize-after-gov-002-mask,2026-07-19T05:22:03.791155+00:00,616.1367,671.875,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,13,bts-full-2024-01-block-013,fused -> materialize-after-gov-002-mask -> materialize-after-bts-filter,2,materialize-after-bts-filter,2026-07-19T05:22:05.393397+00:00,858.0691,1078.125,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,14,bts-full-2024-01-block-014,materialize-after-bts-filter -> fused -> materialize-after-gov-002-mask,0,materialize-after-bts-filter,2026-07-19T05:22:07.334411+00:00,633.7872,703.125,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,14,bts-full-2024-01-block-014,materialize-after-bts-filter -> fused -> materialize-after-gov-002-mask,1,fused,2026-07-19T05:22:08.836683+00:00,719.9303,750.0,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,14,bts-full-2024-01-block-014,materialize-after-bts-filter -> fused -> materialize-after-gov-002-mask,2,materialize-after-gov-002-mask,2026-07-19T05:22:10.409795+00:00,481.1493,593.75,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,15,bts-full-2024-01-block-015,fused -> materialize-after-bts-filter -> materialize-after-gov-002-mask,0,fused,2026-07-19T05:22:11.664664+00:00,532.1228,578.125,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,15,bts-full-2024-01-block-015,fused -> materialize-after-bts-filter -> materialize-after-gov-002-mask,1,materialize-after-bts-filter,2026-07-19T05:22:12.989277+00:00,816.6114,968.75,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,15,bts-full-2024-01-block-015,fused -> materialize-after-bts-filter -> materialize-after-gov-002-mask,2,materialize-after-gov-002-mask,2026-07-19T05:22:14.690112+00:00,573.9213,703.125,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,16,bts-full-2024-01-block-016,materialize-after-gov-002-mask -> fused -> materialize-after-bts-filter,0,materialize-after-gov-002-mask,2026-07-19T05:22:16.099179+00:00,591.6245,671.875,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,16,bts-full-2024-01-block-016,materialize-after-gov-002-mask -> fused -> materialize-after-bts-filter,1,fused,2026-07-19T05:22:17.816590+00:00,798.7124,765.625,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,16,bts-full-2024-01-block-016,materialize-after-gov-002-mask -> fused -> materialize-after-bts-filter,2,materialize-after-bts-filter,2026-07-19T05:22:19.705733+00:00,956.4455,1109.375,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
bts-full-2024-01,bts,547271,17,bts-full-2024-01-block-017,materialize-after-bts-filter -> materialize-after-gov-002-mask -> fused,0,materialize-after-bts-filter,2026-07-19T05:22:21.838601+00:00,1165.8607,1109.375,106251,sha256:16a46f300cbbf11937f6922e35eb1c32021e8b173bfcea0d370d2525f28bdeef
