family_id,row_count,identifier_width,match_rate,seed,early_median_latency_ms,late_median_latency_ms,early_minus_late_percent,classification,winner_speedup_ratio,tie_threshold_fraction
n150000-w1024-m0100,150000,1024,0.1,808,1803.7933000014164,220.44029994867742,718.2683930394637,late,8.182683930394637,0.03
n150000-w1024-m0100,150000,1024,0.1,909,1811.0469999955967,210.46380000188947,760.5028513118825,late,8.605028513118825,0.03
n150000-w1024-m0500,150000,1024,0.5,707,1829.1137000196613,1129.3342999997549,61.96388438924225,late,1.6196388438924225,0.03
n150000-w1024-m0500,150000,1024,0.5,808,1897.7825000183657,1121.5296000009403,69.21376841206639,late,1.692137684120664,0.03
n150000-w1024-m0500,150000,1024,0.5,909,2096.6342000174336,1247.4591000354849,68.07238008507,late,1.6807238008507,0.03
n150000-w1024-m1000,150000,1024,1.0,707,2250.8333000005223,2199.386099993717,2.339161823699465,tie,1.0233916182369946,0.03
n150000-w1024-m1000,150000,1024,1.0,808,2128.2025999971665,2037.858200026676,4.433301589350425,late,1.0443330158935042,0.03
n150000-w1024-m1000,150000,1024,1.0,909,2103.9397999993525,2072.7288000052795,1.5057927498278278,tie,1.0150579274982783,0.03
n150000-w2048-m0100,150000,2048,0.1,707,3829.3103000032715,466.274100006558,721.2573462582232,late,8.212573462582231,0.03
n150000-w2048-m0100,150000,2048,0.1,808,3699.445399979595,448.95990000804886,724.0035245716316,late,8.240035245716316,0.03
n150000-w2048-m0100,150000,2048,0.1,909,3712.298099999316,428.19669999880716,766.9609317422712,late,8.669609317422712,0.03
n150000-w2048-m0500,150000,2048,0.5,707,3806.771000032313,2269.684700004291,67.72245942465563,late,1.6772245942465562,0.03
n150000-w2048-m0500,150000,2048,0.5,808,3957.399800012354,2248.2038000016473,76.02495823596837,late,1.7602495823596838,0.03
n150000-w2048-m0500,150000,2048,0.5,909,3799.2290999973193,2298.827300022822,65.26813910551705,late,1.6526813910551705,0.03
n150000-w2048-m1000,150000,2048,1.0,707,3858.8593000313267,3845.130799978506,0.357035970087094,tie,1.003570359700871,0.03
n150000-w2048-m1000,150000,2048,1.0,808,3855.869899969548,3830.658900027629,0.6581374275255181,tie,1.0065813742752552,0.03
n150000-w2048-m1000,150000,2048,1.0,909,3810.52020000061,3877.778700029012,-1.734459473613037,tie,1.017650739662367,0.03
